"100K","1","74.3"
"100K","2","85.2"
"100K","5","86.5"
"500K","1","74.4"
"500K","2","83.0"
"500K","5","87.2"
"1M","1","74.9"
"1M","2","80.7"
"1M","5","88.1"
"100K","1","76.3"
"100K","2","83.0"
"100K","5","86.7"
"500K","1","76.5"
"500K","2","83.4"
"500K","5","88.9"
"1M","1","76.8"
"1M","2","80.7"
"1M","5","89.0"
"100K","1","74.1"
"100K","2","82.1"
"100K","5","87.4"
"500K","1","74.6"
"500K","2","80.1"
"500K","5","87.6"
"1M","1","75.6"
"1M","2","80.8"
"1M","5","87.9"
"100K","1","75.6"
"100K","2","82.2"
"100K","5","86.1"
"500K","1","73.4"
"500K","2","81.4"
"500K","5","87.7"
"1M","1","76.7"
"1M","2","82.2"
"1M","5","88.7"
