"100K","1","72.9"
"100K","2","74.6"
"100K","5","55.3"
"500K","1","63.9"
"500K","2","50.6"
"500K","5","78.6"
"1M","1","75.5"
"1M","2","78.4"
"1M","5","84.6"
"100K","1","66.5"
"100K","2","78.8"
"100K","5","78.1"
"500K","1","70.9"
"500K","2","74.0"
"500K","5","80.9"
"1M","1","70.5"
"1M","2","78.8"
"1M","5","84.8"
"100K","1","72.3"
"100K","2","78.5"
"100K","5","82.6"
"500K","1","68.0"
"500K","2","79.5"
"500K","5","85.3"
"1M","1","75.0"
"1M","2","76.7"
"1M","5","85.6"
"100K","1","71.9"
"100K","2","81.0"
"100K","5","83.6"
"500K","1","69.2"
"500K","2","81.1"
"500K","5","83.2"
"1M","1","74.9"
"1M","2","79.7"
"1M","5","84.1"
