"100K","1","73.9"
"100K","2","83.4"
"100K","5","85.5"
"500K","1","73.9"
"500K","2","83.0"
"500K","5","86.6"
"1M","1","77.7"
"1M","2","79.8"
"1M","5","87.5"
"100K","1","77.3"
"100K","2","81.6"
"100K","5","87.1"
"500K","1","74.2"
"500K","2","81.4"
"500K","5","88.0"
"1M","1","70.0"
"1M","2","77.5"
"1M","5","87.0"
"100K","1","75.0"
"100K","2","82.9"
"100K","5","86.7"
"500K","1","77.4"
"500K","2","82.6"
"500K","5","86.2"
"1M","1","73.8"
"1M","2","83.1"
"1M","5","88.8"
"100K","1","75.7"
"100K","2","83.2"
"100K","5","87.1"
"500K","1","75.7"
"500K","2","85.0"
"500K","5","85.2"
"1M","1","77.7"
"1M","2","83.7"
"1M","5","89.0"
