"100K","1","68.4"
"100K","2","81.6"
"100K","5","86.0"
"500K","1","74.7"
"500K","2","81.1"
"500K","5","87.0"
"1M","1","68.3"
"1M","2","82.7"
"1M","5","86.7"
"100K","1","74.1"
"100K","2","79.1"
"100K","5","86.3"
"500K","1","74.4"
"500K","2","85.9"
"500K","5","86.0"
"1M","1","73.5"
"1M","2","81.0"
"1M","5","88.5"
"100K","1","63.6"
"100K","2","76.8"
"100K","5","86.3"
"500K","1","74.1"
"500K","2","81.2"
"500K","5","85.8"
"1M","1","77.9"
"1M","2","82.7"
"1M","5","88.3"
"100K","1","76.8"
"100K","2","81.3"
"100K","5","86.3"
"500K","1","77.2"
"500K","2","86.1"
"500K","5","87.4"
"1M","1","72.7"
"1M","2","80.5"
"1M","5","87.9"
