"100K","1","63.2"
"100K","2","77.6"
"100K","5","82.9"
"500K","1","72.3"
"500K","2","80.1"
"500K","5","84.1"
"1M","1","68.1"
"1M","2","80.7"
"1M","5","87.0"
"100K","1","75.1"
"100K","2","81.6"
"100K","5","86.5"
"500K","1","69.0"
"500K","2","81.3"
"500K","5","88.5"
"1M","1","74.3"
"1M","2","80.6"
"1M","5","88.5"
"100K","1","72.7"
"100K","2","81.0"
"100K","5","85.8"
"500K","1","73.0"
"500K","2","82.8"
"500K","5","86.5"
"1M","1","72.6"
"1M","2","80.0"
"1M","5","88.3"
"100K","1","70.4"
"100K","2","80.8"
"100K","5","85.8"
"500K","1","75.1"
"500K","2","83.3"
"500K","5","87.4"
"1M","1","76.9"
"1M","2","81.4"
"1M","5","87.8"
