"100K","1","73.7"
"100K","2","79.4"
"100K","5","85.6"
"500K","1","74.5"
"500K","2","82.8"
"500K","5","88.5"
"1M","1","75.0"
"1M","2","80.6"
"1M","5","87.3"
"100K","1","71.1"
"100K","2","80.6"
"100K","5","85.6"
"500K","1","72.1"
"500K","2","83.2"
"500K","5","87.2"
"1M","1","71.3"
"1M","2","78.3"
"1M","5","84.0"
"100K","1","69.5"
"100K","2","82.7"
"100K","5","85.7"
"500K","1","74.3"
"500K","2","82.3"
"500K","5","87.3"
"1M","1","76.7"
"1M","2","82.8"
"1M","5","88.5"
"100K","1","73.0"
"100K","2","83.3"
"100K","5","85.3"
"500K","1","76.3"
"500K","2","83.1"
"500K","5","86.3"
"1M","1","79.2"
"1M","2","79.7"
"1M","5","87.5"
