"100K","1","75.9"
"100K","2","81.7"
"100K","5","85.1"
"500K","1","73.8"
"500K","2","86.3"
"500K","5","86.5"
"1M","1","76.8"
"1M","2","81.9"
"1M","5","86.7"
"100K","1","75.7"
"100K","2","76.0"
"100K","5","85.4"
"500K","1","74.3"
"500K","2","82.2"
"500K","5","85.5"
"1M","1","74.7"
"1M","2","81.1"
"1M","5","87.4"
"100K","1","74.5"
"100K","2","82.3"
"100K","5","85.3"
"500K","1","76.8"
"500K","2","81.9"
"500K","5","86.0"
"1M","1","75.2"
"1M","2","82.2"
"1M","5","86.0"
"100K","1","75.1"
"100K","2","81.3"
"100K","5","84.8"
"500K","1","74.1"
"500K","2","85.8"
"500K","5","85.5"
"1M","1","78.8"
"1M","2","79.5"
"1M","5","83.5"
