"100K","1","96.5"
"100K","2","94.0"
"100K","5","94.1"
"500K","1","95.0"
"500K","2","95.0"
"500K","5","95.2"
"1M","1","95.2"
"1M","2","95.1"
"1M","5","95.4"
"100K","1","96.7"
"100K","2","94.2"
"100K","5","94.3"
"500K","1","95.0"
"500K","2","94.6"
"500K","5","94.3"
"1M","1","95.1"
"1M","2","95.7"
"1M","5","93.2"
"100K","1","95.7"
"100K","2","94.3"
"100K","5","94.5"
"500K","1","94.9"
"500K","2","94.6"
"500K","5","95.0"
"1M","1","95.5"
"1M","2","94.7"
"1M","5","94.9"
"100K","1","96.5"
"100K","2","94.4"
"100K","5","94.6"
"500K","1","94.6"
"500K","2","95.1"
"500K","5","94.7"
"1M","1","95.1"
"1M","2","95.6"
"1M","5","93.1"
