"100K","1","43.6"
"100K","2","71.5"
"100K","5","87.0"
"500K","1","86.6"
"500K","2","89.1"
"500K","5","89.5"
"1M","1","82.9"
"1M","2","88.1"
"1M","5","88.9"
"100K","1","47.2"
"100K","2","74.5"
"100K","5","87.0"
"500K","1","83.0"
"500K","2","87.9"
"500K","5","89.8"
"1M","1","74.6"
"1M","2","87.6"
"1M","5","89.6"
"100K","1","36.3"
"100K","2","75.0"
"100K","5","86.5"
"500K","1","64.8"
"500K","2","87.3"
"500K","5","89.5"
"1M","1","64.3"
"1M","2","88.1"
"1M","5","89.1"
"100K","1","63.0"
"100K","2","74.5"
"100K","5","88.0"
"500K","1","58.4"
"500K","2","89.1"
"500K","5","88.9"
"1M","1","59.5"
"1M","2","87.7"
"1M","5","89.7"
