"100K","1","74.4"
"100K","2","78.5"
"100K","5","84.8"
"500K","1","75.4"
"500K","2","81.5"
"500K","5","88.0"
"1M","1","79.8"
"1M","2","83.1"
"1M","5","88.2"
"100K","1","76.6"
"100K","2","76.4"
"100K","5","85.4"
"500K","1","76.4"
"500K","2","82.2"
"500K","5","86.8"
"1M","1","75.1"
"1M","2","82.4"
"1M","5","88.8"
"100K","1","76.4"
"100K","2","83.0"
"100K","5","86.0"
"500K","1","77.8"
"500K","2","83.3"
"500K","5","85.2"
"1M","1","76.3"
"1M","2","81.2"
"1M","5","88.3"
"100K","1","78.8"
"100K","2","78.2"
"100K","5","86.0"
"500K","1","76.2"
"500K","2","81.6"
"500K","5","87.3"
"1M","1","72.6"
"1M","2","82.3"
"1M","5","88.0"
